Uid,Sid,Key,Time,Value,UpdateTime
6173302506,985021106,light_sensitivity_value,1775864400,"{""light_sensitivity_value"":0,""time"":1775864400}",1775864421
6173302506,985021106,body_momentum,1775864400,"{""body_momentum"":0,""time"":1775864400}",1775864421
6173302506,985021106,light_sensitivity_value,1775864340,"{""light_sensitivity_value"":0,""time"":1775864340}",1775864421
6173302506,985021106,body_momentum,1775864340,"{""body_momentum"":0,""time"":1775864340}",1775864421
6173302506,985021106,light_sensitivity_value,1775864280,"{""light_sensitivity_value"":0,""time"":1775864280}",1775864421
6173302506,985021106,body_momentum,1775864280,"{""body_momentum"":0,""time"":1775864280}",1775864421
6173302506,985021106,light_sensitivity_value,1775864220,"{""light_sensitivity_value"":0,""time"":1775864220}",1775864421
6173302506,985021106,body_momentum,1775864220,"{""body_momentum"":0,""time"":1775864220}",1775864421
6173302506,985021106,light_sensitivity_value,1775864160,"{""light_sensitivity_value"":0,""time"":1775864160}",1775864421
6173302506,985021106,body_momentum,1775864160,"{""body_momentum"":0,""time"":1775864160}",1775864421
6173302506,985021106,light_sensitivity_value,1775864100,"{""light_sensitivity_value"":0,""time"":1775864100}",1775864421
6173302506,985021106,body_momentum,1775864100,"{""body_momentum"":0,""time"":1775864100}",1775864421
6173302506,985021106,light_sensitivity_value,1775864040,"{""light_sensitivity_value"":0,""time"":1775864040}",1775864421
6173302506,985021106,body_momentum,1775864040,"{""body_momentum"":0,""time"":1775864040}",1775864421
6173302506,985021106,light_sensitivity_value,1775863980,"{""light_sensitivity_value"":0,""time"":1775863980}",1775864421
6173302506,985021106,body_momentum,1775863980,"{""body_momentum"":0,""time"":1775863980}",1775864421
6173302506,985021106,light_sensitivity_value,1775863920,"{""light_sensitivity_value"":0,""time"":1775863920}",1775864421
6173302506,985021106,body_momentum,1775863920,"{""body_momentum"":0,""time"":1775863920}",1775864421
6173302506,985021106,light_sensitivity_value,1775863860,"{""light_sensitivity_value"":0,""time"":1775863860}",1775864421
6173302506,985021106,body_momentum,1775863860,"{""body_momentum"":0,""time"":1775863860}",1775864421
6173302506,985021106,light_sensitivity_value,1775863800,"{""light_sensitivity_value"":0,""time"":1775863800}",1775864421
6173302506,985021106,body_momentum,1775863800,"{""body_momentum"":0,""time"":1775863800}",1775864421
6173302506,985021106,single_heart_rate,1775863741,"{""bpm"":103,""time"":1775863741}",1775864419
6173302506,985021106,light_sensitivity_value,1775863740,"{""light_sensitivity_value"":0,""time"":1775863740}",1775864421
6173302506,985021106,body_momentum,1775863740,"{""body_momentum"":0,""time"":1775863740}",1775864421
6173302506,985021106,single_heart_rate,1775863739,"{""bpm"":104,""time"":1775863739}",1775864419
6173302506,985021106,single_heart_rate,1775863738,"{""bpm"":105,""time"":1775863738}",1775864419
6173302506,985021106,light_sensitivity_value,1775863680,"{""light_sensitivity_value"":0,""time"":1775863680}",1775864421
6173302506,985021106,body_momentum,1775863680,"{""body_momentum"":0,""time"":1775863680}",1775864421
6173302506,985021106,light_sensitivity_value,1775863620,"{""light_sensitivity_value"":0,""time"":1775863620}",1775864421
6173302506,985021106,body_momentum,1775863620,"{""body_momentum"":0,""time"":1775863620}",1775864421
6173302506,985021106,light_sensitivity_value,1775863560,"{""light_sensitivity_value"":0,""time"":1775863560}",1775864421
6173302506,985021106,body_momentum,1775863560,"{""body_momentum"":0,""time"":1775863560}",1775864421
6173302506,985021106,light_sensitivity_value,1775863500,"{""light_sensitivity_value"":0,""time"":1775863500}",1775864421
6173302506,985021106,body_momentum,1775863500,"{""body_momentum"":0,""time"":1775863500}",1775864421
