fecha,credito_privado
2006-01-01,24264.275759999997
2006-02-01,24758.566870000002
2006-03-01,25410.72941
2006-04-01,25869.83626
2006-05-01,26396.24023
2006-06-01,27036.51392
2006-07-01,27907.983659999998
2006-08-01,28473.772900000004
2006-09-01,29127.30773
2006-10-01,29985.96381
2006-11-01,30741.86703
2006-12-01,31357.746180000002
2007-01-01,31967.1601
2007-02-01,32314.10531
2007-03-01,32797.20778
2007-04-01,33436.97374
2007-05-01,34020.001220000006
2007-06-01,34855.32182
2007-07-01,35730.97206
2007-08-01,36726.72403
2007-09-01,37532.17245
2007-10-01,39258.80303
2007-11-01,40482.06201
2007-12-01,41251.50627
2008-01-01,42084.87892
2008-02-01,43123.92255
2008-03-01,43536.25818
2008-04-01,43885.8702
2008-05-01,44229.07735
2008-06-01,44788.19615
2008-07-01,45556.170029999994
2008-08-01,46319.769570000004
2008-09-01,46658.68622
2008-10-01,46528.97224
2008-11-01,46950.5174
2008-12-01,46334.09682
2009-01-01,45723.41697
2009-02-01,45512.40255
2009-03-01,45257.69287
2009-04-01,44330.62418
2009-05-01,43990.87783
2009-06-01,43533.90994
2009-07-01,43265.265419999996
2009-08-01,43134.59488
2009-09-01,42886.40477
2009-10-01,42655.6683
2009-11-01,42996.64938
2009-12-01,42842.72746
2010-01-01,42559.18918
2010-02-01,42348.18052
2010-03-01,41794.76653
2010-04-01,41409.12502
2010-05-01,41205.61744
2010-06-01,41567.181580000004
2010-07-01,41627.03882
2010-08-01,41815.53026
2010-09-01,42172.00173
2010-10-01,42673.74129
2010-11-01,43583.38645
2010-12-01,45388.378280000004
2011-01-01,45443.21783
2011-02-01,44766.651
2011-03-01,44407.54792
2011-04-01,44242.15472
2011-05-01,44412.581210000004
2011-06-01,44337.4101
2011-07-01,44699.633839999995
2011-08-01,45733.4519
2011-09-01,47111.57209
2011-10-01,48817.35803
2011-11-01,50990.93922
2011-12-01,52491.80203
2012-01-01,53457.17955
2012-02-01,54435.26674
2012-03-01,54133.01926
2012-04-01,54302.680290000004
2012-05-01,55739.00479
2012-06-01,56853.05519
2012-07-01,57904.05858
2012-08-01,59198.53751
2012-09-01,60337.57492
2012-10-01,62135.31143
2012-11-01,64092.093510000006
2012-12-01,66318.71079
2013-01-01,67235.49044
2013-02-01,67397.10497
2013-03-01,69006.91519
2013-04-01,69533.63681
2013-05-01,70229.06749
2013-06-01,70850.75018999999
2013-07-01,71256.8353
2013-08-01,72306.18467
2013-09-01,73551.01243999999
2013-10-01,76108.07842
2013-11-01,78111.63115
2013-12-01,79746.75307
2014-01-01,80523.14192
2014-02-01,81892.89408
2014-03-01,82746.91243
2014-04-01,84248.84345
2014-05-01,86012.76789
2014-06-01,86685.91079
