Horizonte,Impulso,Respuesta,Estimacion_Central,Limite_Inferior,Limite_Superior
0,Crecimiento de Credito Privado (dlog),Rentabilidad Bancaria (ROA),0,0,0
1,Crecimiento de Credito Privado (dlog),Rentabilidad Bancaria (ROA),0.03823419885768571,-0.020243795983244404,0.09396165909697603
2,Crecimiento de Credito Privado (dlog),Rentabilidad Bancaria (ROA),0.05018730201942144,-0.024957185063019135,0.11463353376054108
3,Crecimiento de Credito Privado (dlog),Rentabilidad Bancaria (ROA),0.04959363068932998,-0.022937752920132226,0.10738861845575867
4,Crecimiento de Credito Privado (dlog),Rentabilidad Bancaria (ROA),0.04375356622233988,-0.019295698911330126,0.09316440491074053
5,Crecimiento de Credito Privado (dlog),Rentabilidad Bancaria (ROA),0.036358227712309524,-0.01539262761608213,0.0794181615956623
6,Crecimiento de Credito Privado (dlog),Rentabilidad Bancaria (ROA),0.0291350637921709,-0.011408756876072724,0.06474954172226197
7,Crecimiento de Credito Privado (dlog),Rentabilidad Bancaria (ROA),0.02279882893477539,-0.008426474612126587,0.05145692806757541
8,Crecimiento de Credito Privado (dlog),Rentabilidad Bancaria (ROA),0.01755108097358169,-0.006049683308951245,0.04083748436463757
9,Crecimiento de Credito Privado (dlog),Rentabilidad Bancaria (ROA),0.013354759945065908,-0.004368509662584837,0.032234446404961974
10,Crecimiento de Credito Privado (dlog),Rentabilidad Bancaria (ROA),0.010075746058578493,-0.003008925565794495,0.025002480270819184
11,Crecimiento de Credito Privado (dlog),Rentabilidad Bancaria (ROA),0.007554020131050986,-0.0020805017020724056,0.01968040992651687
12,Crecimiento de Credito Privado (dlog),Rentabilidad Bancaria (ROA),0.005636613480541761,-0.0013925893094266545,0.015586516952332256
