horizon,respuesta,impulso,puntual,inferior,superior
0,d_tasa_pasiva,dlog_remesas,0.05163072128565545,-0.009896129914512197,0.09816672262338882
1,d_tasa_pasiva,dlog_remesas,-0.003992221516942974,-0.06161741431771607,0.049302526972066926
2,d_tasa_pasiva,dlog_remesas,-0.01872351574489816,-0.06955473626995429,0.03728806713421049
3,d_tasa_pasiva,dlog_remesas,-0.020842972815696716,-0.06984301220564912,0.03742656076980212
4,d_tasa_pasiva,dlog_remesas,0.006477214510793682,-0.05391293399494996,0.06446367863538423
5,d_tasa_pasiva,dlog_remesas,-0.005049925453380225,-0.0587473367370985,0.04627194234619775
6,d_tasa_pasiva,dlog_remesas,0.011416983722492356,-0.03675878329951832,0.05704327354347057
7,d_tasa_pasiva,dlog_remesas,0.014294276227786189,-0.04079396570188549,0.0574655947444018
8,d_tasa_pasiva,dlog_remesas,0.029681260996350323,-0.025534227109793178,0.07368571403278591
9,d_tasa_pasiva,dlog_remesas,0.007114983529715938,-0.04714847976628104,0.05542020370540545
10,d_tasa_pasiva,dlog_remesas,0.012156202565996645,-0.03916973144451052,0.05730481968106258
11,d_tasa_pasiva,dlog_remesas,0.013049707333229348,-0.036059440534746884,0.06246866707326517
12,d_tasa_pasiva,dlog_remesas,0.020674625696008392,-0.03217345053365783,0.06542072337208123
13,d_tasa_pasiva,dlog_remesas,-0.00384478145391846,-0.05345698221721549,0.03892339404315266
14,d_tasa_pasiva,dlog_remesas,-0.010361666749379765,-0.04476763464270385,0.03302946436880121
15,d_tasa_pasiva,dlog_remesas,0.04073299558201168,-0.00425980513855667,0.0736512692601478
16,d_tasa_pasiva,dlog_remesas,0.004481103524497565,-0.03458183645758201,0.041123192228974086
17,d_tasa_pasiva,dlog_remesas,0.017489436486142512,-0.02501178605097157,0.04795381359051636
18,d_tasa_pasiva,dlog_remesas,0.005816785995303102,-0.032493411218206675,0.03908899970622628
19,d_tasa_pasiva,dlog_remesas,-0.014065877714510015,-0.053146075475282537,0.020164336446004558
20,d_tasa_pasiva,dlog_remesas,0.0042302842966695986,-0.029907985730993156,0.0363901256891181
21,d_tasa_pasiva,dlog_remesas,0.04089281953196263,-0.0018298479229352706,0.06722153283442742
22,d_tasa_pasiva,dlog_remesas,-0.010714403883323972,-0.045124323315656856,0.02021972861327885
23,d_tasa_pasiva,dlog_remesas,0.00951998669119116,-0.023940512580083423,0.037569333858396795
24,d_tasa_pasiva,dlog_remesas,0.006366145116694264,-0.024152315916159194,0.03252478717955932
0,d_liquidez,dlog_remesas,-0.0017027278555823133,-0.002585804109371192,-2.3158313569984665e-4
1,d_liquidez,dlog_remesas,4.801618659297078e-4,-8.095075887185004e-4,0.00176968112526838
2,d_liquidez,dlog_remesas,1.5248803486886089e-4,-0.0012020788474134921,0.0013600189306115758
3,d_liquidez,dlog_remesas,6.759737443508493e-4,-7.428283108261382e-4,0.0018658972930381149
4,d_liquidez,dlog_remesas,-9.2896382874288e-4,-0.0020328560063835864,4.443684083375381e-4
5,d_liquidez,dlog_remesas,-3.5357223379806383e-4,-0.0015334855189746916,9.611246609673367e-4
6,d_liquidez,dlog_remesas,-4.6335085907898884e-4,-0.0015215805617201836,7.66170862798644e-4
7,d_liquidez,dlog_remesas,-1.0439561784140699e-4,-0.001261028928288521,0.0010674095928956738
8,d_liquidez,dlog_remesas,-0.0017464971841068201,-0.0026527501069499356,-2.286718556199468e-4
9,d_liquidez,dlog_remesas,-1.7222847855995815e-4,-0.00115208141068494,0.0012404198162447749
10,d_liquidez,dlog_remesas,-2.100676866567462e-4,-0.0012135490086109392,0.0011118100548094644
11,d_liquidez,dlog_remesas,5.696161165942061e-4,-7.160105275964161e-4,0.0016635023414283492
12,d_liquidez,dlog_remesas,-9.229967453950708e-4,-0.0017657982254709996,5.160704491554657e-4
13,d_liquidez,dlog_remesas,3.1105698292325124e-4,-6.164296010696314e-4,0.001261981471016972
14,d_liquidez,dlog_remesas,-9.769350760318656e-5,-9.538770375258692e-4,8.654315934861282e-4
15,d_liquidez,dlog_remesas,5.533056867776574e-5,-8.034719022575147e-4,9.752546677481817e-4
16,d_liquidez,dlog_remesas,2.8356993106491447e-4,-5.279410191653668e-4,0.0012073314409013713
17,d_liquidez,dlog_remesas,-9.192944458300456e-4,-0.0014836298864680333,2.047126595760761e-4
18,d_liquidez,dlog_remesas,-0.00045909006951253836,-0.0011313164018537823,5.483774902199282e-4
19,d_liquidez,dlog_remesas,2.3640446089558717e-4,-5.555680136358733e-4,0.0010607552920420553
20,d_liquidez,dlog_remesas,-3.0905491144875985e-4,-8.777090320578556e-4,6.675156408785609e-4
21,d_liquidez,dlog_remesas,-3.5310877764554023e-4,-9.98943095317065e-4,5.422193434933942e-4
22,d_liquidez,dlog_remesas,3.576921088787954e-4,-4.4367561868802994e-4,0.0010851935169910462
23,d_liquidez,dlog_remesas,-1.6173746223755784e-4,-8.09268075624354e-4,6.037094864201087e-4
24,d_liquidez,dlog_remesas,-2.9712363737761677e-4,-8.142882602434794e-4,4.998813831162784e-4
0,d_apalancamiento,dlog_remesas,-0.0027797033991498964,-0.018206224886289535,0.015370817849524796
1,d_apalancamiento,dlog_remesas,-0.001454201293782531,-0.01921352573696572,0.01758114232842197
2,d_apalancamiento,dlog_remesas,0.018185042668381158,-0.00387287454198787,0.03290371129742659
3,d_apalancamiento,dlog_remesas,0.005946015401570142,-0.01608271448650961,0.021940812329077134
4,d_apalancamiento,dlog_remesas,3.530262719802775e-4,-0.018043773320307672,0.017944366575124267
5,d_apalancamiento,dlog_remesas,-0.010097119727464045,-0.02657417940756213,0.008624821635373595
6,d_apalancamiento,dlog_remesas,-0.0014473236061401723,-0.01898599083446289,0.01496826072022313
7,d_apalancamiento,dlog_remesas,0.006822218470489234,-0.012491935513578021,0.02208893110560287
8,d_apalancamiento,dlog_remesas,-0.004354799257194565,-0.02288957401028355,0.013300817043202306
9,d_apalancamiento,dlog_remesas,-0.020021857971841684,-0.03308727151177597,0.0015650383436342837
10,d_apalancamiento,dlog_remesas,0.01831646656523697,-0.0013598553798323738,0.03256980082396891
11,d_apalancamiento,dlog_remesas,-0.004883503255475568,-0.023152372115383246,0.011867315740333204
12,d_apalancamiento,dlog_remesas,-0.014003036951800012,-0.02717873640410899,0.006063613369074534
13,d_apalancamiento,dlog_remesas,0.001890344184221952,-0.013313392996764118,0.01553271310077583
14,d_apalancamiento,dlog_remesas,0.00317871933581016,-0.010774844189204949,0.015905522335771256
15,d_apalancamiento,dlog_remesas,-0.004524088943846557,-0.0174253106706313,0.008670106419188328
16,d_apalancamiento,dlog_remesas,0.001952250574724547,-0.010639902065111088,0.014002042240175717
17,d_apalancamiento,dlog_remesas,-0.007128365510292516,-0.017521664624159546,0.007819822033148585
18,d_apalancamiento,dlog_remesas,-0.0031281925882475645,-0.014636258797360194,0.010323912289975831
19,d_apalancamiento,dlog_remesas,0.004730378595513348,-0.008204978899228232,0.01455300391272168
