horizon,respuesta,impulso,puntual,inferior,superior
0,d_tasa_pasiva,dlog_remesas,-0.0038626213740153305,-0.05039759956029116,0.04314090923571273
1,d_tasa_pasiva,dlog_remesas,-0.028984889704408892,-0.08433727637737036,0.025220011489402464
2,d_tasa_pasiva,dlog_remesas,0.015732318278332373,-0.009631116087775629,0.044807286320366346
3,d_tasa_pasiva,dlog_remesas,-0.002884260510804208,-0.014924514028599959,0.0051621240220359604
4,d_tasa_pasiva,dlog_remesas,0.002222954546036419,-0.001492940734095366,0.00680143036285882
5,d_tasa_pasiva,dlog_remesas,5.667600866028063e-4,-0.0015357360340107582,0.002642766259318805
6,d_tasa_pasiva,dlog_remesas,6.710007483022111e-4,-4.5071852415102355e-4,0.0022534727899996775
7,d_tasa_pasiva,dlog_remesas,4.5343366593229525e-4,-3.486206577056112e-4,0.0016000468754427608
8,d_tasa_pasiva,dlog_remesas,3.4468860411866227e-4,-1.9975335387167003e-4,0.001190589170526366
9,d_tasa_pasiva,dlog_remesas,2.548887607063171e-4,-1.406878341516757e-4,8.674608366106822e-4
10,d_tasa_pasiva,dlog_remesas,1.8853286482242024e-4,-9.037447618458589e-5,6.651495840067417e-4
11,d_tasa_pasiva,dlog_remesas,1.3935062296032016e-4,-6.275663355995334e-5,4.866308373803861e-4
12,d_tasa_pasiva,dlog_remesas,1.027842956050597e-4,-4.623610036930843e-5,3.730748365435399e-4
0,dlog_credito,dlog_remesas,0.0013410964590705502,1.2727257134313166e-4,0.0025605065962724244
1,dlog_credito,dlog_remesas,8.759715967507301e-4,-3.679273223884006e-4,0.0022225287076267095
2,dlog_credito,dlog_remesas,6.604757461041126e-4,-1.0241937646688429e-4,0.0014535189040044956
3,dlog_credito,dlog_remesas,4.6539036611948064e-4,-1.0829476637298436e-4,0.0010581241838628465
4,dlog_credito,dlog_remesas,3.389701825309092e-4,-7.71357273660868e-5,8.011155990619154e-4
5,dlog_credito,dlog_remesas,2.4521055004488984e-4,-5.812335653940902e-5,5.856787277817977e-4
6,dlog_credito,dlog_remesas,1.783940407313341e-4,-4.38381909413268e-5,4.4744404659228376e-4
7,dlog_credito,dlog_remesas,1.299532445954295e-4,-3.18314536264859e-5,3.367090758364284e-4
8,dlog_credito,dlog_remesas,9.484059469782876e-5,-2.2308385495690437e-5,2.5676778433807976e-4
9,dlog_credito,dlog_remesas,6.93059534682823e-5,-1.5649651496901365e-5,1.9876130222315098e-4
10,dlog_credito,dlog_remesas,5.069936677035141e-5,-1.0863162526444625e-5,1.535829437753194e-4
11,dlog_credito,dlog_remesas,3.711919941753757e-5,-7.808235039395648e-6,1.1846747783045674e-4
12,dlog_credito,dlog_remesas,2.7194391332904657e-5,-6.028343018973675e-6,9.076519619648774e-5
0,roa,dlog_remesas,8.22456673622291e-6,-5.748059475657193e-4,6.305819591640484e-4
1,roa,dlog_remesas,1.0763755385486703e-4,-5.75937636960072e-4,7.407095994256186e-4
2,roa,dlog_remesas,8.73237045362717e-5,-2.536908129297993e-4,4.2976948346560814e-4
3,roa,dlog_remesas,8.014231120697976e-5,-1.5747178772511274e-4,3.091070917689272e-4
4,roa,dlog_remesas,6.588642627498626e-5,-9.202966628852152e-5,2.264053271511194e-4
5,roa,dlog_remesas,5.2788534456683794e-5,-5.78077457140765e-5,1.7409575145951384e-4
6,roa,dlog_remesas,4.126754233675677e-5,-3.466181972145389e-5,1.3178249487264947e-4
7,roa,dlog_remesas,3.174372815176302e-5,-2.3859209686145573e-5,1.0166882411320898e-4
8,roa,dlog_remesas,2.4143531670895466e-5,-1.5936355235780114e-5,7.869091009330331e-5
9,roa,dlog_remesas,1.8208456366391826e-5,-1.0405158822809441e-5,6.0351154322288244e-5
10,roa,dlog_remesas,1.364769029515076e-5,-7.421700062426046e-6,4.67856857292447e-5
11,roa,dlog_remesas,1.0181424498621167e-5,-5.135301309706162e-6,3.4886960243337154e-5
12,roa,dlog_remesas,7.568601320618359e-6,-3.5484739297828128e-6,2.6171077580374237e-5
