Horizonte,Respuesta,Impulso,Estimacion_Central,Limite_Inferior,Limite_Superior
0,d_tasa_pasiva,dlog_remesas,0,0,0
1,d_tasa_pasiva,dlog_remesas,-1.2632449110357156,-3.595154430606548,0.9975016530355912
2,d_tasa_pasiva,dlog_remesas,0.5503548004647322,-0.4160201263489908,1.8037915533939217
3,d_tasa_pasiva,dlog_remesas,-0.16728419688471036,-0.6530711839906583,0.1422503628570468
4,d_tasa_pasiva,dlog_remesas,0.04454903001265794,-0.07436502446190911,0.25998988002224716
5,d_tasa_pasiva,dlog_remesas,-0.009718921019669528,-0.08935431245484413,0.041927150071617465
6,d_tasa_pasiva,dlog_remesas,0.002045723530501941,-0.03291560291291008,0.041200988050355596
7,d_tasa_pasiva,dlog_remesas,-3.6951510540959615e-4,-0.02753267067731506,0.02156488540888664
8,d_tasa_pasiva,dlog_remesas,-3.8140891246074104e-5,-0.019120887356250095,0.016553086033685473
9,d_tasa_pasiva,dlog_remesas,-8.090183207736402e-5,-0.01459678147973978,0.01159508232525197
10,d_tasa_pasiva,dlog_remesas,-7.839390664496484e-5,-0.011027596578184274,0.008476734229602777
11,d_tasa_pasiva,dlog_remesas,-6.357965959390263e-5,-0.008266423777428315,0.00637694984179978
12,d_tasa_pasiva,dlog_remesas,-5.2881169252308035e-5,-0.0060024055391882086,0.004885105262710284
0,dlog_credito,dlog_remesas,0,0,0
1,dlog_credito,dlog_remesas,-0.002930959461455142,-0.04607689803946969,0.04343835397354264
2,dlog_credito,dlog_remesas,-6.516658078469124e-4,-0.023464791249008337,0.02539240000584555
3,dlog_credito,dlog_remesas,-7.747426437672287e-4,-0.018998005433012166,0.01766648281414261
4,dlog_credito,dlog_remesas,-4.077859906473368e-4,-0.013693335019488632,0.012433230648235117
5,dlog_credito,dlog_remesas,-2.883323460983142e-4,-0.009861854448759536,0.009043878299516382
6,dlog_credito,dlog_remesas,-1.876339978205271e-4,-0.0074172950978476666,0.006582930228768817
7,dlog_credito,dlog_remesas,-1.272197194051163e-4,-0.005422398214556738,0.004807765043921627
8,dlog_credito,dlog_remesas,-8.684209923409058e-5,-0.0040752986717891276,0.003527164259345474
9,dlog_credito,dlog_remesas,-6.001992587928536e-5,-0.003140003396519654,0.0027053190635252435
10,dlog_credito,dlog_remesas,-4.192412592988227e-5,-0.0023798066325648472,0.0020869230695818113
11,dlog_credito,dlog_remesas,-2.9541821859193182e-5,-0.0017897379294021388,0.0015928105162101292
12,dlog_credito,dlog_remesas,-2.097918841106088e-5,-0.001371086860940269,0.0011804483709914758
0,roa,dlog_remesas,0,0,0
1,roa,dlog_remesas,0.0019877127514138365,-0.022681826467839214,0.025153829921296698
2,roa,dlog_remesas,6.558694024639037e-4,-0.010039155181444642,0.011019901884029138
3,roa,dlog_remesas,4.5222264291321004e-4,-0.007068365382712145,0.007533257727948067
4,roa,dlog_remesas,2.311380367126154e-4,-0.004856764146163874,0.004818574642436013
5,roa,dlog_remesas,1.248999705856886e-4,-0.003359769368364446,0.003244455545886652
6,roa,dlog_remesas,6.4585458629905e-5,-0.002397044918930908,0.0022839773529750754
7,roa,dlog_remesas,3.165728311566618e-5,-0.0017673356822419098,0.0016155768853031442
8,roa,dlog_remesas,1.4291359175122447e-5,-0.0013255056395587756,0.0011827317206242968
9,roa,dlog_remesas,5.287227114234075e-6,-0.0010113720458936244,8.633838190441624e-4
10,roa,dlog_remesas,8.966286227091503e-7,-7.774413868739736e-4,6.42334850455977e-4
11,roa,dlog_remesas,-1.0652592863229293e-6,-6.032136463809581e-4,4.6312134640203996e-4
12,roa,dlog_remesas,-1.7745334972252485e-6,-4.56609876081621e-4,3.374536589511448e-4
